1, 1, 2020-02-26, DEPOSIT, 200.00, 200.00
1, 1, 2020-02-26, WITHDRAW, 300.00, -100.00
1, 1, 2020-02-26, TR_FEE, 35.00, -135.00
1, 1, 2020-02-27, DEPOSIT, 200.00, 200.00
1, 1, 2020-02-27, WITHDRAW, 300.00, -100.00
1, 1, 2020-02-27, TR_FEE, 35.00, -135.00
1, 1, 2020-02-27, DEPOSIT, 200.00, 200.00
1, 1, 2020-02-27, WITHDRAW, 300.00, -100.00
1, 1, 2020-02-27, TR_FEE, 35.00, -135.00
1, 1, 2020-02-27, DEPOSIT, 200.00, 200.00
1, 1, 2020-02-27, WITHDRAW, 300.00, -100.00
1, 1, 2020-02-27, TR_FEE, 35.00, -135.00
1, 1, 2020-02-27, DEPOSIT, 200.00, 200.00
1, 1, 2020-02-27, WITHDRAW, 300.00, -100.00
1, 1, 2020-02-27, TR_FEE, 35.00, -135.00
1, 1, 2020-02-27, DEPOSIT, 200.00, 200.00
1, 1, 2020-02-27, WITHDRAW, 300.00, -100.00
1, 1, 2020-02-27, TR_FEE, 35.00, -135.00
1, 1, 2020-03-01, DEPOSIT, 200.00, 200.00
1, 1, 2020-03-01, WITHDRAW, 300.00, -100.00
1, 1, 2020-03-01, TR_FEE, 35.00, -135.00
1, 1, 2020-03-01, DEPOSIT, 200.00, 200.00
1, 1, 2020-03-01, WITHDRAW, 300.00, -100.00
1, 1, 2020-03-01, TR_FEE, 35.00, -135.00
